,callback_content,label,vin
0,"{""last_time_to_shop"":""2018-01-29"",""total_mileage"":36022,""result"":[{""date"":""2018-01-29"",""mile"":36022,""type"":"""",""detail"":""拆卸/安装后保险杠总成 ASSEMBLED UNIT REMOVE/INSTALL; 左后门描漆; 更换后保险杠总成 的附加工作, 加高规格的车辆; 对后保险杠外套 涂面漆/进行特效喷漆, 装配 AMG 风格组件的车辆 STYLING PKAGE; 杂费; 一般修理; "",""other"":""饰件; 饰件; 饰条; 饰条; 饰件; 饰件; 饰条; 饰条; ""},{""date"":""2018-01-28"",""mile"":36022,""type"":""保养"",""detail"":""保养; 四轮刹车保养; 钣金修理; 拆卸/安装后保险杠总成 ASSEMBLED UNIT REMOVE/INSTALL; 左后门描漆; 更换后保险杠总成 的附加工作, 加高规格的车辆; 对后保险杠外套 涂面漆/进行特效喷漆, 装配 AMG 风格组件的车辆 STYLING PKAGE; 杂费; "",""other"":""饰件; 饰件; 饰条; 饰条; ""},{""date"":""2017-06-16"",""mile"":29849,""type"":""保养"",""detail"":""保养; 抵扣积分后补差价; 一般修理; 保养菜单-基础A保养; 进行带附加组件的 A 类保养范围 PKAGE; 拆卸/安装前保险杠总成 ASSEMBLED UNIT REMOVE/INSTALL; THE PAINTWORK WAS CARRIED OUT AS PER DAIMLER AG STANDARD WITH SIKKENS PAINT SYSTEM; 抵扣瑞星行油漆券1000*1张; "",""other"":""TS 滤芯; 梅赛德斯-奔驰原厂发动机油5W40; ""},{""date"":""2017-01-22"",""mile"":22790,""type"":""钣金修理"",""detail"":""钣金修理; 拆卸/安装前保险杠总成 ASSEMBLED UNIT REMOVE/INSTALL; 分解/装配前保险杠总成, 根据诊断更换一个或多个部件 的附加工作, 加高规格的车辆 VEHICLE IN LUXURY EQUIPMENT LEVEL; 修理右前翼子板; 对前保险杠外套 涂面漆/进行特效喷漆, 装配 AMG 风格组件的车辆 WITH AMG STYLING PKAGE; 对右前翼子板喷漆, 等级 3,金属漆/单色漆 (双层喷漆); 准备工作的附加工作, 准备其它颜色 OR FILLER; 杂费; "",""other"":""灯组; 基础底架; 护盖; 车轮装饰罩; 空心铆钉; 支承铆钉; 支架; 支架; ""},{""date"":""2016-10-25"",""mile"":19894,""type"":""保养"",""detail"":""保养; 保养菜单-基础B保养; 进行带附加组件的 B 类保养范围 PKAGE; "",""other"":""TS 滤芯; 滤芯; 梅赛德斯-奔驰原厂发动机油5W40; ""},{""date"":""2016-05-03"",""mile"":13526,""type"":""保养"",""detail"":""保养; 拆卸/安装车轮(1) REMOUNT; 对车轮(1)进行静 平衡 (已拆下车轮); 更换车轮(1) (已拆下车轮); 一般修理?¤; "",""other"":""轮胎; 轮胎; 轮胎; ""},{""date"":""2016-03-16"",""mile"":11657,""type"":""钣金修理"",""detail"":""钣金修理; 拆卸/安装前保险杠总成 ASSEMBLED UNIT REMOVE/INSTALL; 更换前保险杠总成 的附加工作, 加高规格的车辆; 对前保险杠外套 涂面漆/进行特效喷漆 SPARY ON CENT PAINTWORK; 准备工作的附加工作, 准备其它颜色 OR FILLER; 杂费; "",""other"":""车轮装饰罩; ""},{""date"":""2016-03-06"",""mile"":10404,""type"":""保养"",""detail"":""保养; 进行带附加组件的 A 类保养范围 PKAGE; 进行快速测试; USB接口损坏请报价; "",""other"":""TS 滤芯; 梅赛德斯-奔驰原厂发动机油5W40; ""},{""date"":""2015-12-09"",""mile"":7850,""type"":"""",""detail"":""准备工作的附加工作, 准备其它颜色 OR FILLER; 更换左前翼子板 (已拆下保险杠); 修理左侧第一个车门; 修理左侧第二个车门; 更换登车口纵梁上的左侧饰板 SIDE MEMBER REPLE; 对左前翼子板喷漆, 等级 2,金属漆/单色漆 (双层喷漆); 对左侧第二个车门喷漆,等级 2,金属漆/单色漆 (双层喷漆); 对左侧第一个车门喷漆,等级 2,金属漆/单色漆 (双层喷漆); 对登车口饰板(1) 涂面漆/进行特效喷漆 CENT PAINTWORK; 杂费项目; "",""other"":""前部翼子板; ""},{""date"":""2015-11-03"",""mile"":6455,""type"":""索赔工作"",""detail"":""索赔工作; 安装隔热壁卡子 GUARD RETROFIT C. NO.: 62 901 44, CODE: 1501P62A13; 检测工作; THE CONTRTOR IS DAIMLER AG (STUTTGART) ON THE BASIS OF A FLEETSITE COOPERATION CONTRT .; 现已对油底壳固定螺丝疑似; "",""other"":""固定卡子; ""}],""vin"":""LE4HG3GB9GL208100""}",0,0009ac7dc78a6d248
1,"{""last_time_to_shop"":""2016-03-31"",""total_mileage"":""74117"",""result"":[{""date"":""2016-03-31"",""mile"":""74117"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;放油螺栓垫片;75,000KM检查,检查;机油滤清器:机油滤清器总成拆装/更换"",""other"":""9030107033;自攻螺钉;233000D060;燃油滤清器总成""},{""date"":""2015-12-28"",""mile"":""71309"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;放油螺栓垫片;70,000 KM 保养:(RR D/C)车型检查;机油滤清器:机油滤清器总成拆装/更换;车轮:轮胎换位(全部)"",""other"":""0888083585;SM 5W20机油（4L）;90915YZZJ1;机油滤清器总成;9043012031;密封垫片;T400104002;发动机高效清洗剂""},{""date"":""2015-07-15"",""mile"":""66522"",""type"":""一般:客户付款"",""detail"":""空调器:其他;阳光套票"",""other"":""""},{""date"":""2015-07-05"",""mile"":""66116"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;润滑及充气:转向助力液更换;放油螺栓垫片;65,000KM检查,检查;机油滤清器:机油滤清器总成拆装/更换;空调器:空调免检;更换喷油嘴胶圈;购买阳光卡;车身五合一养护"",""other"":""90915YZZJ1;机油滤清器总成;9043012031;密封垫片;T400104002;发动机高效清洗剂;9030107037;自攻螺钉;2329122020;发动机喷嘴定位座;PZT018702LA01;变速箱油""},{""date"":""2014-07-17"",""mile"":""54871"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;放油螺栓垫片;55,000KM检查,检查;机油滤清器:机油滤清器总成拆装/更换;线圈-火花塞:清洗火咀"",""other"":""J10W-40-1L;金富力机油10W-40 1升;90915YZZJ1;滤芯;9043012031;密封垫片;T400104002;发动机高效清洗剂""}]}",0,001d95b864006de91
2,"{""last_time_to_shop"":""2018-09-06"",""total_mileage"":28057,""result"":[{""date"":""2018-09-06"",""mile"":""28057"",""type"":""喷漆:客户付款"",""detail"":""后保险杠(喷漆);"",""other"":""  其它: ""},{""date"":""2018-03-30"",""mile"":""17707"",""type"":""定期保养"",""detail"":""20,000 KM 保养:(A/T,RR D/C)车型检查;"",""other"":""SN 5W20纯牌机油200L粤西安武汉;SN 5W20纯牌机油（1L）;机油滤清器;  其它: ""}],""vin"":""LFMBEC4D5H0298594"",""_result_description"":"""",""_car_brand"":""一汽丰田"",""_car_info"":""[\""结构部件正常\"",\""发动机正常\"",\""里程数正常\"",\""安全气囊正常\""]""}",0,0049c6ad8280dc471
3,"{""last_time_to_shop"":""2016-03-14"",""total_mileage"":60117,""result"":[{""date"":""2016-03-14"",""mile"":""60117"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""SN 0W20机油（4L）;机油滤清器总成;密封垫片;  其它: ""},{""date"":""2015-12-28"",""mile"":""55465"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""SN0W20机油;机油滤清器总成;密封垫片;发动机清洗剂;发动机保护剂;玻璃水;空气滤清器滤芯分总成;空气净化滤清器;  其它: ""},{""date"":""2015-11-25"",""mile"":""53988"",""type"":""一般:保修"",""detail"":""音响:音响调节器总成拆装/更换;"",""other"":""  其它: ""},{""date"":""2015-11-20"",""mile"":""0"",""type"":""一般:客户付款"",""detail"":""更换胎压传感器;"",""other"":""轮胎压力监控阀分总成;  其它: ""},{""date"":""2015-10-30"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2015-10-15"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2015-09-30"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2015-09-26"",""mile"":""50121"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""SN0W20机油;机油滤清器总成;密封垫片;  其它: ""},{""date"":""2015-08-16"",""mile"":""0"",""type"":""钣金:客户付款"",""detail"":""更换右后尾灯;"",""other"":""后组合灯;  其它: ""},{""date"":""2015-07-24"",""mile"":""42831"",""type"":""一般:客户付款"",""detail"":""润滑及充气:发动机冷却液更换;润滑及充气:发动机油更换;润滑及充气:自动变速器油更换(用于CVT无级变速器);润滑及充气:差速器油更换;润滑及充气:制动液更换;"",""other"":""SN0W20机油;机油滤清器总成;密封垫片;防冻液;刹车油;齿轮油;防滑差速器齿轮油;节气门清洗剂;喷油嘴清洗剂;火花塞;  其它: ""},{""date"":""2015-07-23"",""mile"":""42831"",""type"":""喷漆:客户付款"",""detail"":""保险杠:前保险杠总成或前保险杠盖拆装/更换;右前门修复;右后门修复;左前叶子板修复;前保险杠(喷漆);左前翼子板(喷漆);右前门板(喷漆);右后门板(喷漆);"",""other"":""*右侧围板外防护条分总成;前保险杠左侧延伸段;  其它: ""},{""date"":""2015-06-17"",""mile"":""38164"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""*合成高级机油5W.40;机油滤清器总成;密封垫片;  其它: ""},{""date"":""2015-05-12"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2015-04-03"",""mile"":""31171"",""type"":""定期保养"",""detail"":""更换机油;"",""other"":""*合成高级机油5W.40;密封垫片;滤芯;玻璃水;  其它: ""},{""date"":""2014-12-10"",""mile"":""25551"",""type"":""定期保养"",""detail"":""2,500 KM 保养检查(恶劣);"",""other"":""发动机清洗剂;发动机保护剂;滤芯;密封垫片;节气门清洗剂;*合成高级机油5W.40;空气滤芯;空气细滤器滤芯;  其它: ""},{""date"":""2014-11-25"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-09-25"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-09-20"",""mile"":""0"",""type"":""钣金:客户付款"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-09-09"",""mile"":""20420"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""*合成高级机油5W.40;滤芯;密封垫片;  其它: ""},{""date"":""2014-09-04"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-08-24"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-07-28"",""mile"":""3412"",""type"":""钣金:客户付款"",""detail"":""保险杠:后保险杠总成或后保险杠盖拆装/更换;保险杠:后护杠拆装;左后侧条拆装;左后翼子板(抛光);"",""other"":""后保险杠罩;左侧中央围板外防护条;卡子（用于行李箱内装饰罩）;  其它: ""},{""date"":""2014-07-24"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-07-09"",""mile"":""14507"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""*合成高级机油;滤芯;密封垫片;  其它: ""},{""date"":""2014-06-26"",""mile"":""0"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""  其它: ""},{""date"":""2014-04-25"",""mile"":""8065"",""type"":""定检:一汽丰田一万KM"",""detail"":""2,500 KM 保养检查(恶劣);"",""other"":""*半合成高级机油ＳＭ５Ｗ３０;密封垫片;滤芯;发动机保护剂;  其它: ""},{""date"":""2014-04-25"",""mile"":""8065"",""type"":""定期保养"",""detail"":""润滑及充气:发动机油更换;"",""other"":""发动机清洗剂;  其它: ""},{""date"":""2014-03-05"",""mile"":""2995"",""type"":""定检:一汽丰田五千KM"",""detail"":""润滑及充气:发动机油更换;"",""other"":""半合成高级机油ＳＭ５Ｗ３０;滤芯;密封垫片;  其它: ""}],""vin"":""LFMJ44AF7D3019584"",""_result_description"":"""",""_car_brand"":""一汽丰田"",""_car_info"":""[\""结构部件正常\"",\""发动机正常\"",\""里程数异常\"",\""安全气囊正常\""]""}",0,00664457c731a0528
4,"{""last_time_to_shop"":""2018-12-13"",""total_mileage"":""37877"",""result"":[{""date"":""2018-12-13"",""mile"":""37877"",""type"":""暂无"",""detail"":""压滤器壳体升级;车辆免费专检"",""other"":""压滤器支架;内六角花形盘头螺钉""},{""date"":""2018-03-18"",""mile"":""11283"",""type"":""暂无"",""detail"":""更换外后视镜镜片托板总成"",""other"":""左外后视镜镜片托板总成;右外后视镜镜片托板总成""},{""date"":""2018-03-09"",""mile"":""10636"",""type"":""暂无"",""detail"":""魏派VV5/4C20NT发动机/7DCT变速器/两驱/二保"",""other"":""组合垫圈;机油滤清器总成;空气滤清器滤芯总成;燃油滤清器总成;汽油机油-(SN5W-40) 1L;汽油机油-(SN5W-40) 4L;过滤网组件""},{""date"":""2018-03-09"",""mile"":""10636"",""type"":""暂无"",""detail"":""TCU软件升级"",""other"":""""},{""date"":""2018-01-25"",""mile"":""7866"",""type"":""暂无"",""detail"":""更换前风窗玻璃;更换单边车门玻璃总成;更换后背门玻璃总成;S2前侧面车门烤漆(金属漆);车门整形S4(S3以上）"",""other"":""后背门玻璃;右后门玻璃;前风窗玻璃左装饰条本体;后雨刮臂总成;后车标;长城汽车标牌;VV5S标牌;右后门外水切 黑;右后门前窗装饰板 黑;右前门玻璃;右前门外水切 黑;右前门后窗装饰板 黑;前风窗玻璃 电子防炫目 LDW;右前门上窗装饰条 黑;后背门下护板总成;子母扣;聚氨酯玻璃密封胶""},{""date"":""2018-01-25"",""mile"":""7866"",""type"":""暂无"",""detail"":""排查防护座椅靠背及控制器本体线束（主、副"",""other"":""""},{""date"":""2018-01-25"",""mile"":""7866"",""type"":""暂无"",""detail"":""WEY普检;并线辅助标定"",""other"":""""},{""date"":""2017-12-07"",""mile"":""4910"",""type"":""暂无"",""detail"":""魏派VV5/4C20NT发动机/7DCT变速器/两驱/一保"",""other"":""组合垫圈;机油滤清器总成;合成机油SN 5W-40 1L;合成机油SN 5W-40 4L""}]}",0,00729967c5431adc2
5,"{""last_time_to_shop"":""2018-10-07"",""total_mileage"":""5085"",""result"":[{""date"":""2018-10-07"",""mile"":""5085"",""type"":""首保"",""detail"":""全新迈腾 5000KM常规保养(首保）"",""other"":""LN 052 167 F4;机油 (4升 5W/40 SM级);LN 052 167 F1;机油 (1升 5W/40 SM级);L06L 115 562 A;滤芯 B8;N 013 815 7;密封环 ！;LN 911 679 01;螺栓""},{""date"":""2018-05-29"",""mile"":""20"",""type"":""PDI"",""detail"":""PDI检查"",""other"":""""},{""date"":""2018-05-22"",""mile"":""20"",""type"":""PDI"",""detail"":""PDI检查"",""other"":""""}]}",0,0079ae82e4890d4ee
6,"{""last_time_to_shop"":""2016-05-12"",""total_mileage"":289000,""result"":[{""date"":""2016-05-12"",""mile"":""289000"",""type"":""小修"",""detail"":""2 刮水片 拆卸和安装"",""other"":""滤芯(JC) BWA(JL),机油SM级（1L/5W40）(JC)(YXQ),机油SM级（4L/5W40）(JC)(YXQ),滤芯(JC) BWA(JL),机油SM级（4L/5W40）(JC)(YXQ),机油SM级（1L/5W40）(JC)(YXQ),雨刮片 (YXQ.3)  其它: ""},{""date"":""2015-05-25"",""mile"":""274900"",""type"":""保养"",""detail"":""换油保养 ."",""other"":""滤芯(JC),机油SM级（1L/5W40）(JC)(YXQ),机油SM级（4L/5W40）(JC)(YXQ)  其它: ""},{""date"":""2015-03-25"",""mile"":""269700"",""type"":""保养"",""detail"":""换油保养 ."",""other"":""滤芯(JC),机油SM级（1L/5W40）(JC)(YXQ),机油SM级（4L/5W40）(JC)(YXQ)  其它: ""},{""date"":""2014-09-08"",""mile"":""240600"",""type"":""索赔"",""detail"":""压缩机 拆卸和安装"",""other"":""压缩机  其它: ""},{""date"":""2014-07-21"",""mile"":""235200"",""type"":""小修"",""detail"":""检查空调不制冷,拆装压缩机,排放和加注制冷剂,拆装干燥罐"",""other"":""干燥罐 (JC),压缩机  其它: ""},{""date"":""2011-02-14"",""mile"":""131200"",""type"":""保养"",""detail"":""拆装前轮制动摩擦衬片,换油服务,拆装仪表台下储物盒,拆装制动灯开关"",""other"":""带密封的过滤器件组,刹车踏板开关,一套盘式制动器磨擦片 321X30MM?,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-12-15"",""mile"":""125000"",""type"":""保养"",""detail"":""15000公里保养（含全车电,拆装后轮制动摩擦衬片"",""other"":""带密封的过滤器件组,空滤器滤芯,空气滤清器滤芯,滤油器,一套盘式制动器摩擦片 302X12MM,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-10-18"",""mile"":""118400"",""type"":""保养"",""detail"":""换油服务,废气再循环转换阀拆卸和安"",""other"":""带密封的过滤器件组,压力调节阀,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-08-30"",""mile"":""112800"",""type"":""保养"",""detail"":""换油服务"",""other"":""带密封的过滤器件组,双音喇叭总成,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-07-16"",""mile"":""106100"",""type"":""保养"",""detail"":""拆装制动总泵,换油服务,拆装火花塞,給制动系统放气,拆装两侧前制动钳,拆装两后制动钳,更换前刹车片盘"",""other"":""带密封的过滤器件组,长命火花塞,前制动软.前,制动钳壳体 左侧,制动钳壳体 右侧,制动盘(配合151D),气门嘴总成,制动主缸,轮胎205/55R1691V米其林,带调节电机的 制动鞍钳,带调节电机的 制动鞍钳,制动器磨擦片,刹车液(BASF),机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-05-28"",""mile"":""100600"",""type"":""保养"",""detail"":""15000公里保养（含全车电,车轮动平衡"",""other"":""带密封的过滤器件组,空气滤清器滤芯,雨刮片,空滤器滤芯,滤油器,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2010-02-11"",""mile"":""89300"",""type"":""保养"",""detail"":""更换自动变速箱油,更换刹车油,换油服务"",""other"":""带密封的过滤器件组,刹车液(BASF),无级变速箱油,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2009-12-30"",""mile"":""83300"",""type"":""保养"",""detail"":""15000公里保养（含全车电,更换两后轮刹车盘,更换两后刹车片"",""other"":""带密封的过滤器件组,空滤器滤芯,制动盘(配合451D),车轮螺栓(带防盗钥匙),一套盘式制动器摩擦片 302X12MM,滤油器,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40),钮扣电池  其它: ""},{""date"":""2009-11-02"",""mile"":""76300"",""type"":""保养"",""detail"":""换油服务"",""other"":""带密封的过滤器件组,机油SM级 (1升/AUDI 5W/40),机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2009-09-04"",""mile"":""70800"",""type"":""小修"",""detail"":""更换两前轮刹车盘,更换两前刹车片"",""other"":""制动盘(配合151D),制动器磨擦片  其它: ""},{""date"":""2009-08-20"",""mile"":""70800"",""type"":""保养"",""detail"":""更换蓄电池,换油服务,拆装火花塞,拆装两减震器,更换两后避震缓冲块,更换左后窗帘护板,发动机燃油进气系统清洗,发动机润滑系统清洗,电子节气门清洗"",""other"":""带密封的过滤器件组,'长命'火花塞,后缓冲块,护扳,托承,蓄电池,机油SM级 (4升/AUDI 5W/40)  其它: ""},{""date"":""2009-03-31"",""mile"":""58600"",""type"":""索赔"",""detail"":""废气再循环转换阀拆卸和安,检查发动机仓内唧唧声"",""other"":""压力调节阀  其它: ""},{""date"":""2008-02-26"",""mile"":""18400"",""type"":""事故"",""detail"":""更换前保,拆装前保,前保喷漆"",""other"":""前保险杠外罩  其它: ""},{""date"":""2008-01-06"",""mile"":""16500"",""type"":""保养"",""detail"":""15000公里保养（含全车电,冬季养护,检查冷车启动发动机异响.未发现"",""other"":""  其它: ""},{""date"":""2007-10-23"",""mile"":""11389"",""type"":""保养"",""detail"":""换油服务,润滑清洗,检查冷车启动有响声.未发现,配机油4L"",""other"":""带密封的过滤器件组,61610快速清洗剂,64328超强力保护剂,全合成长效机油(1升/AUDI 5W/30),全合成长效机油(4升/AUDI 5W/30),全合成长效机油(1升/AUDI 5W/30),带密封的过滤器件组,61610快速清洗剂,64328超强力保护剂,全合成长效机油(4升/AUDI 5W/30)  其它: ""},{""date"":""2007-07-18"",""mile"":""6358"",""type"":""首保"",""detail"":""换油服务"",""other"":""带密封的过滤器件组,全合成长效机油(1升/AUDI 5W/30),全合成长效机油(4升/AUDI 5W/30),带密封的过滤器件组,全合成长效机油(1升/AUDI 5W/30),全合成长效机油(4升/AUDI 5W/30)  其它: ""}],""vin"":""LFV3A24F373018868"",""_result_description"":"""",""_car_brand"":""奥迪"",""_car_info"":""[\""结构部件正常\"",\""发动机异常\"",\""里程数正常\"",\""安全气囊正常\""]""}",0,0080746c299e7ea7b
7,"{""last_time_to_shop"":""2018-12-17"",""total_mileage"":26400,""result"":[{""date"":""2018-12-17"",""mile"":""26400"",""type"":""保修"",""detail"":""KX5 1.6T ECU升级加装限流环;"",""other"":""衬套;  其它: ""},{""date"":""2018-10-04"",""mile"":""24400"",""type"":""一般维修"",""detail"":""“奕”起奔跑 乐享金秋服务活动;车型KX5城市C套餐基础,高级机油4L;"",""other"":""  其它: ""},{""date"":""2018-07-31"",""mile"":""22545"",""type"":""一般维修"",""detail"":""“激情世界杯 好礼共分享”服务活动;前翼子板(左侧,整修表面);"",""other"":""  其它: ""},{""date"":""2018-05-15"",""mile"":""21010"",""type"":""保修"",""detail"":""“500万产销 感恩钜惠”第二阶段服务活动;"",""other"":""  其它: ""},{""date"":""2018-02-09"",""mile"":""19409"",""type"":""一般维修"",""detail"":""跨年礼遇活动;发动机机油滤清器总成,  R&R;"",""other"":""  其它: ""},{""date"":""2017-08-31"",""mile"":""17092"",""type"":""一般维修"",""detail"":""局部维修(面漆喷漆);"",""other"":""  其它: ""},{""date"":""2017-07-28"",""mile"":""15236"",""type"":""一般维修"",""detail"":""2017年“惠”享盛夏服务活动;发动机机油滤清器总成,  R&R;"",""other"":""  其它: ""},{""date"":""2017-05-14"",""mile"":""11250"",""type"":""保修"",""detail"":""室内灯, R&R;"",""other"":""顶部控制灯总成;  其它: ""},{""date"":""2017-04-30"",""mile"":""11250"",""type"":""保修"",""detail"":""17年“客户关怀”活动 免费检测;"",""other"":""  其它: ""},{""date"":""2017-04-15"",""mile"":""10300"",""type"":""保修"",""detail"":""KX5左右后牵引臂更换;"",""other"":""左后牵引臂总成;右后牵引臂总成;  其它: ""},{""date"":""2017-03-19"",""mile"":""9900"",""type"":""一般维修"",""detail"":""17年春季服务月活动;发动机机油滤清器总成,  R&R;"",""other"":""  其它: ""},{""date"":""2016-11-17"",""mile"":""8000"",""type"":""保修"",""detail"":""KX5 7DCT TCU程序升级召回;"",""other"":""  其它: ""},{""date"":""2016-08-04"",""mile"":""4906"",""type"":""保修"",""detail"":""KX5 1.6T 免费首保;"",""other"":""  其它: ""}],""vin"":""LJDXAA121G0011454"",""_result_description"":"""",""_car_brand"":""起亚"",""_car_info"":""[\""结构部件正常\"",\""发动机正常\"",\""里程数正常\"",\""安全气囊正常\""]""}",0,008f4efc448b7e1c5
8,"{""last_time_to_shop"":""2016-08-31"",""total_mileage"":4500,""result"":[{""date"":""2016-08-31"",""mile"":4500,""type"":""首保"",""detail"":""换油保养.；灰尘和花粉滤清器拆卸和安装；"",""other"":""机油滤清器；滤芯；滤芯；格栅；机油5W/40(1L)；机油5W/40(4L)；""}]}",0,0090554655c6d84d1
9,"{""last_time_to_shop"":""2018-10-07"",""total_mileage"":35610,""result"":[{""date"":""2018-10-07"",""mile"":""35610.0"",""type"":""更换2前下悬挂；"",""detail"":""左侧下部横向摆臂拆卸和安装;右侧下部横向摆臂拆卸和安装;"",""other"":""下控制臂 途观;""},{""date"":""2018-10-07"",""mile"":""35610.0"",""type"":""保养"",""detail"":""5000公里间隔保养(更换机油机滤、检查);"",""other"":""机油(白色桶4L);机油(白色桶1L);机油滤清器;锁紧螺栓;密封环;""},{""date"":""2018-05-28"",""mile"":""30525.0"",""type"":""保养"",""detail"":""5000公里间隔保养(更换机油机滤、检查);"",""other"":""密封环;黑钻级机油4L（美孚）;黑钻级机油1L（美孚）;机油滤清器;锁紧螺栓;空气格*途观;""},{""date"":""2017-12-23"",""mile"":""25041.0"",""type"":""5000公里间隔保养(更换机油机滤、检查)"",""detail"":""5000公里间隔保养(更换机油机滤、检查);燃油系统免拆养护（两件套装）;"",""other"":""黑钻级机油4L（美孚）;黑钻级机油1L（美孚）;机油滤清器;""},{""date"":""2017-02-04"",""mile"":""15684.0"",""type"":""按10000公里规范常规保养"",""detail"":""按10000公里规范常规保养;"",""other"":""黑钻级机油1L（美孚）;黑钻级机油4L（美孚）;机油滤清器;密封环;""},{""date"":""2016-07-12"",""mile"":""6292.0"",""type"":""更换前刹车片"",""detail"":""拆装或更换前部车轮制动片(盘式)(工艺.MR04);"",""other"":""1套制动器摩擦片;""},{""date"":""2016-05-30"",""mile"":""4909.0"",""type"":""首次5000公里保养"",""detail"":""首次5000公里保养;"",""other"":""黑钻级机油1L（美孚）;黑钻级机油4L（美孚）;机油滤清器;""},{""date"":""2016-03-31"",""mile"":""18.0"",""type"":""赠送燃油添加剂一瓶"",""detail"":""赠送燃油添加剂一瓶;"",""other"":""汽油清净剂150ml赠送版;""}],""vin"":""LSVXZ65N4G2016516"",""_result_description"":"""",""_car_brand"":""上海大众"",""_car_info"":""[\""结构部件正常\"",\""发动机正常\"",\""里程数正常\"",\""安全气囊正常\""]""}",0,009a36212c3b8004c
